Title,State,Jx2,Tx2,Parity,Energy
Nmax2,1,3,3,1,-25.4552
Nmax2,2,1,3,1,-23.1149
Nmax2,3,5,3,1,-19.1027
Nmax2,4,3,3,1,-17.6995
Nmax2,5,7,3,1,-17.3993
Nmax2,6,3,3,1,-16.3743
Nmax2,7,5,3,1,-15.7086
Nmax2,8,1,3,1,-13.7282
Nmax4,1,3,3,1,-32.6603
Nmax4,2,1,3,1,-30.6243
Nmax4,3,5,3,1,-27.1317
Nmax4,4,3,3,1,-25.9054
Nmax4,5,7,3,1,-25.2817
Nmax4,6,3,3,1,-24.5135
Nmax4,7,5,3,1,-23.6087
Nmax4,8,1,3,1,-22.3235
Nmax6,1,3,3,1,-37.0052
Nmax6,2,1,3,1,-35.118
Nmax6,3,5,3,1,-31.9848
Nmax6,4,3,3,1,-30.9345
Nmax6,5,7,3,1,-29.9713
Nmax6,6,3,3,1,-29.5476
Nmax6,7,5,3,1,-28.4432
Nmax6,8,1,3,1,-27.6044
Expt,1,1,1,1,0.0
Expt,2,1,1,1,0.0
Expt,3,1,1,1,0.0
Expt,4,1,1,1,0.0
Expt,5,1,1,1,0.0
Expt,6,1,1,1,0.0
Expt,7,1,1,1,0.0
Expt,8,1,1,1,0.0
